date,open,high,low,close,volume
2024-11-25,1407.54,1428.54,1393.21,1395.11,33186
2024-11-26,1395.11,1415.42,1385.42,1405.54,25745
2024-11-27,1405.54,1418.69,1401.54,1415.59,25934
2024-11-28,1418.54,1421.53,1398.54,1414.54,23952
2024-11-29,1413.54,1451.54,1409.75,1422.28,36088
2024-12-02,1422.54,1426.53,1411.64,1421.54,26820
2024-12-03,1420.54,1425.44,1412.62,1423.28,24807
2024-12-04,1416.61,1420.2,1406.54,1416.54,23924
2024-12-05,1407.4,1414.4,1406.54,1407.54,16141
2024-12-06,1409.54,1435.44,1404.61,1417.55,32040
2024-12-09,1418.56,1426.26,1409.74,1415.34,19800
2024-12-10,1466.54,1476.27,1441.72,1443.13,60312
2024-12-11,1436.54,1451.54,1427.52,1432.14,29671
2024-12-12,1428.56,1462.54,1425.54,1462.34,41937
2024-12-13,1446.55,1451.53,1415.42,1415.54,49512
2024-12-16,1417.54,1425.54,1407.25,1423.74,32537
2024-12-17,1422.53,1465.54,1417.55,1454.54,54172
2024-12-18,1454.51,1473.54,1443.64,1468.04,41162
2024-12-19,1461.68,1464.47,1446.87,1447.55,24809
2024-12-20,1451.55,1462.22,1440.44,1442.42,28158
2024-12-23,1443.42,1458.42,1437.42,1446.87,21603
2024-12-24,1445.42,1464.42,1442.01,1459.24,22105
2024-12-25,1459.22,1459.22,1446.52,1450.42,17123
2024-12-26,1454.42,1459.2,1443.42,1448.21,18287
2024-12-27,1449.32,1456.42,1439.92,1449.39,20759
2024-12-30,1454.39,1464.38,1445.42,1445.42,25130
2024-12-31,1445.82,1465.42,1442.43,1444.42,39354
2025-01-02,1444.42,1444.91,1400.42,1408.42,50029
2025-01-03,1414.92,1415.41,1387.43,1395.42,32628
2025-01-06,1373.42,1383.08,1353.22,1360.42,44255
2025-01-07,1365.08,1372.31,1359.42,1360.62,24221
2025-01-08,1360.42,1372.24,1347.08,1362.92,35258
2025-01-09,1369.41,1385.0,1353.4,1364.42,29706
2025-01-10,1367.52,1372.37,1356.42,1356.42,21872
2025-01-13,1345.42,1364.86,1342.43,1364.4,21083
2025-01-14,1365.37,1399.1,1362.42,1392.92,30957
2025-01-15,1387.42,1395.02,1380.43,1391.69,18399
2025-01-16,1394.42,1403.08,1362.42,1366.8,26342
2025-01-17,1366.81,1381.42,1366.8,1375.17,18309
2025-01-20,1381.42,1410.21,1380.42,1395.22,31410
