date,open,high,low,close,volume
2024-08-05,1318.77,1354.01,1315.57,1338.83,37736.07
2024-08-06,1350.21,1352.11,1323.64,1333.79,27444.33
2024-08-07,1334.55,1350.2,1327.71,1344.04,20622.21
2024-08-08,1339.77,1375.07,1337.87,1358.46,25130.82
2024-08-09,1386.32,1394.84,1364.27,1364.27,30138.49
2024-08-12,1357.81,1370.15,1354.56,1363.6,13632.03
2024-08-13,1360.66,1362.56,1340.73,1351.17,16308.43
2024-08-14,1351.17,1352.97,1340.74,1341.95,13414.31
2024-08-15,1334.1,1363.5,1333.07,1354.86,23038.97
2024-08-16,1354.76,1363.43,1345.48,1358.95,16454.7
2024-08-19,1359.71,1385.23,1353.06,1353.48,20432.79
2024-08-20,1357.71,1357.74,1342.62,1350.9,18591.38
2024-08-21,1348.31,1355.89,1344.22,1346.02,15091.65
2024-08-22,1344.52,1348.31,1329.33,1338.87,19527.29
2024-08-23,1336.92,1351.64,1335.13,1343.56,15320.46
2024-08-26,1345.47,1351.98,1332.31,1340.72,15628.41
2024-08-27,1340.72,1341.67,1330.38,1333.19,13657.4
2024-08-28,1333.19,1335.02,1305.59,1318.88,31663.51
2024-08-29,1310.33,1346.42,1310.33,1341.95,27471.61
2024-08-30,1341.67,1384.46,1334.07,1370.33,38739.23
2024-09-02,1357.81,1365.41,1324.58,1324.58,34134.59
2024-09-03,1327.42,1343.55,1322.7,1338.82,17887.6
2024-09-04,1331.22,1347.54,1329.08,1329.32,14211.09
2024-09-05,1329.8,1335.97,1326.48,1333.96,14502.95
2024-09-06,1334.07,1335.02,1327.42,1327.42,10321.04
2024-09-09,1310.34,1323.35,1300.91,1305.59,28637.55
2024-09-10,1300.86,1322.68,1300.86,1308.43,19802.84
2024-09-11,1306.16,1315.92,1296.09,1310.33,20995.77
2024-09-12,1310.33,1315.08,1267.52,1267.66,47948.31
2024-09-13,1263.81,1264.76,1231.81,1238.29,56005.11
2024-09-18,1234.37,1234.38,1202.72,1202.94,46185.31
2024-09-19,1198.29,1227.61,1182.94,1197.34,59988.21
2024-09-20,1197.82,1209.59,1186.92,1200.11,39981.84
2024-09-23,1203.99,1228.2,1197.02,1197.85,45549.69
2024-09-24,1220.21,1303.69,1201.22,1303.31,100412.81
2024-09-25,1329.37,1354.96,1326.2,1328.37,73953.8
2024-09-26,1329.29,1452.64,1325.53,1451.81,97278.06
2024-09-27,1519.23,1546.95,1486.34,1546.95,87921.67
2024-09-30,1606.58,1671.04,1568.6,1659.76,157293.41
2024-10-08,1813.58,1813.58,1595.36,1636.02,194709.47
2024-10-09,1614.18,1614.18,1509.73,1514.62,120196.84
2024-10-10,1540.36,1583.87,1510.68,1557.21,74603.42
2024-10-11,1533.85,1557.17,1509.73,1523.97,41914.71
2024-10-14,1531.57,1538.82,1501.35,1521.12,44812.02
2024-10-15,1518.28,1520.17,1474.61,1475.79,43571.43
2024-10-16,1463.09,1471.56,1433.77,1445.64,46664.4
2024-10-17,1459.41,1460.03,1418.02,1419.15,39459.55
2024-10-18,1417.63,1488.69,1404.3,1463.21,68619.3
2024-10-21,1463.41,1471.72,1444.41,1451.62,42007.9
2024-10-22,1449.49,1481.42,1447.25,1465.1,36269.13
2024-10-23,1466.16,1497.34,1454.66,1488.37,40088.46
2024-10-24,1482.2,1495.49,1467.01,1473.84,23922.8
2024-10-25,1468.9,1495.29,1467.96,1480.15,27745.08
2024-10-28,1481.25,1485.99,1445.38,1485.99,39121.4
2024-10-29,1481.25,1500.24,1452.76,1454.3,41165.78
2024-10-30,1448.01,1472.88,1446.5,1454.66,32005.74
2024-10-31,1454.8,1462.26,1443.27,1450.66,29957.35
2024-11-01,1444.22,1467.13,1444.03,1456.32,32283.92
2024-11-04,1466.94,1471.75,1450.92,1470.04,29092.92
2024-11-05,1462.26,1498.05,1458.47,1497.38,45640.47
