stock_code,report_date,roe,net_profit,gross_margin,debt_ratio,net_margin,operating_cashflow,total_equity
600276.SH,2023-09-30,8.9691,3451029827.76,84.3799,6.2158,20.2839,4308871180.92,40206586136.28
600276.SH,2023-12-31,10.9911,4277820702.5,84.5518,6.284,18.7461,7643665074.52,41033086441.33
600276.SH,2024-03-31,3.3251,1367488687.72,84.2794,8.4174,22.8008,1254598909.0,42439355302.08
600276.SH,2024-06-30,8.2605,3428132358.04,86.2265,10.3655,25.2055,3032754841.18,43187136155.98
600276.SH,2024-09-30,10.9685,4616330177.46,85.9669,8.2887,22.8652,4585446009.12,44331518695.42
600276.SH,2024-12-31,14.7386,6336994647.53,86.2489,8.0689,22.6446,7422753038.71,46090250733.31
600276.SH,2025-03-31,4.0517,1876441961.32,85.169,7.2973,26.0414,555174088.51,47549769057.74
600276.SH,2025-06-30,8.5592,4454670657.21,86.5812,6.1433,28.2635,4300453251.4,59029798039.14
600276.SH,2025-09-30,10.9521,5760235152.02,86.2195,12.1401,24.8414,9110430290.27,60032518002.87
600309.SH,2022-03-31,7.5543,5522423077.31,20.5528,62.9121,13.2165,4050753249.98,77137387607.12
600309.SH,2022-06-30,14.9131,10789554707.83,18.4487,64.0853,12.1069,14283353016.03,74449906033.36
600309.SH,2022-09-30,19.096,14234791838.9,16.7207,63.8778,10.9145,19943927733.11,77976940722.83
600309.SH,2022-12-31,22.3384,17041906850.02,16.5694,59.5022,10.2932,36336824920.33,81336987661.44
600309.SH,2023-03-31,5.1377,4388675818.16,17.5302,63.9289,10.4643,4166884642.68,85774779187.14
600309.SH,2023-06-30,10.858,9251609413.73,16.4195,64.6525,10.558,11221814117.95,86687318072.78
600309.SH,2023-09-30,15.7709,13856292834.98,16.7611,64.9732,10.4533,17136871562.19,89703220076.63
600309.SH,2023-12-31,20.3211,18299805216.85,16.7851,62.6723,10.4355,26796752552.51,94454215733.8
600309.SH,2024-03-31,4.5923,4563358857.14,17.6281,64.528,9.8857,3083663688.61,99010202516.5
600309.SH,2024-06-30,9.0756,8971839130.55,16.414,66.1411,9.2429,10291272116.34,99626367421.13
600309.SH,2024-09-30,12.2,12300644333.98,15.381,67.1875,8.3335,19305479618.2,101600950497.49
600309.SH,2024-12-31,14.2219,14791313747.02,16.1623,64.7159,8.124,30053435178.33,103500149866.66
600309.SH,2025-03-31,3.1949,3376828034.87,15.7049,66.1496,7.8407,581158509.58,107482068587.4
