date,close,open,high,low,volume
2025-10-16,1274.0,1260.0,1307.96,1260.0,96667.9
2025-10-17,1247.68,1254.95,1289.28,1218.23,84813.74
2025-10-20,1281.12,1273.11,1333.96,1241.5,128071.07
2025-10-21,1368.96,1281.12,1378.0,1245.0,146125.63
2025-10-22,1429.5,1341.0,1468.0,1339.0,141335.62
2025-10-23,1398.9,1409.0,1417.0,1365.0,79242.08
2025-10-24,1525.0,1425.0,1548.0,1404.0,159565.6
2025-10-27,1530.68,1560.0,1560.01,1493.0,122356.06
2025-10-28,1478.58,1505.0,1533.79,1457.0,104310.9
2025-10-29,1461.0,1460.0,1530.88,1433.0,101228.54
2025-10-30,1422.0,1440.0,1499.96,1400.01,117364.77
2025-10-31,1375.0,1407.96,1414.0,1375.0,85167.38
2025-11-03,1346.6,1335.0,1360.66,1335.0,63788.88
2025-11-04,1339.6,1370.0,1390.85,1326.0,71501.62
2025-11-05,1348.0,1295.0,1365.0,1291.11,67698.87
2025-11-06,1480.0,1386.0,1480.88,1371.23,134785.95
2025-11-07,1432.5,1455.55,1468.88,1430.08,66444.28
2025-11-10,1391.5,1430.03,1450.0,1337.01,89348.59
2025-11-11,1330.0,1398.0,1403.0,1299.11,90176.81
2025-11-12,1365.78,1312.0,1375.0,1308.0,67212.32
2025-11-13,1384.9,1352.0,1387.0,1329.0,61507.83
2025-11-14,1325.01,1350.0,1365.13,1324.3,62737.92
2025-11-17,1303.1,1316.95,1342.01,1283.38,67492.79
2025-11-18,1326.7,1305.95,1344.44,1290.99,60034.36
2025-11-19,1332.0,1320.0,1350.0,1320.0,42413.04
2025-11-20,1322.3,1361.01,1365.58,1320.0,38874.85
2025-11-21,1249.0,1290.3,1298.0,1240.01,72573.06
2025-11-24,1261.98,1252.88,1275.58,1218.0,59214.22
2025-11-25,1260.0,1268.0,1285.35,1244.0,58771.03
2025-11-26,1314.66,1245.0,1340.16,1234.01,91472.9
2025-11-27,1317.36,1360.0,1388.2,1313.0,89364.17
2025-11-28,1331.0,1310.0,1347.0,1291.0,58546.39
2025-12-01,1362.44,1327.94,1382.0,1292.2,73684.03
2025-12-02,1328.73,1370.0,1377.0,1322.44,46406.31
2025-12-03,1332.3,1333.0,1360.0,1320.1,44919.65
2025-12-04,1369.0,1321.21,1369.3,1292.5,70527.31
2025-12-05,1355.0,1339.5,1396.32,1322.0,88022.66
2025-12-08,1417.8,1335.0,1441.8,1333.02,98744.31
2025-12-09,1436.0,1375.0,1457.57,1368.0,90594.17
2025-12-10,1420.88,1436.0,1451.69,1371.0,62966.51
2025-12-11,1382.02,1410.0,1417.0,1376.0,62072.59
2025-12-12,1344.0,1382.02,1408.0,1329.8,91731.13
2025-12-15,1331.9,1316.01,1377.79,1316.01,64108.76
2025-12-16,1273.92,1319.1,1332.0,1262.69,73946.27
2025-12-17,1315.6,1270.11,1320.0,1263.5,63136.57
2025-12-18,1287.0,1300.0,1309.77,1280.02,38865.62
2025-12-19,1268.0,1300.0,1301.0,1264.0,43265.54
2025-12-22,1284.77,1275.01,1297.65,1258.0,64766.94
2025-12-23,1336.02,1278.2,1350.0,1275.1,91435.03
2025-12-24,1326.2,1335.0,1345.0,1300.99,59286.62
2025-12-25,1319.41,1315.0,1333.99,1310.0,40510.27
2025-12-26,1303.89,1302.0,1334.15,1290.1,47847.97
2025-12-29,1358.5,1309.97,1398.0,1308.0,98352.62
2025-12-30,1415.8,1358.88,1439.0,1358.88,91353.67
2025-12-31,1355.55,1426.0,1432.0,1348.16,70267.42
