stock_code,stock_name,industry,end_date,roe,netprofit_yoy,grossprofit_margin,debt_to_assets,current_ratio,operating_cashflow,ocf_to_revenue,ocf_to_profit,net_profit,revenue,eps,bps,roa,netprofit_margin,quick_ratio,assets_turn,total_assets,total_equity,roe_industry_pct,netprofit_yoy_industry_pct,grossprofit_margin_industry_pct,ocf_to_revenue_industry_pct,debt_to_assets_industry_pct,roe_industry_score,netprofit_yoy_industry_score,grossprofit_margin_industry_score,debt_to_assets_industry_score,ocf_to_revenue_industry_score,industry_score
002170.SZ,芭田股份,SW1基础化工,20260331,7.0074,122.48,38.2229,34.7215,1.2267,391450726.46,29.4862,1.43,273736165.24,1327573442.86,0.282,4.1728,4.3983,20.6193,0.8693,0.2133,6223627508.66,4062693422.85,0.9926470588235294,0.8939393939393939,0.9338235294117647,0.9509803921568627,0.5514705882352942,5.0,5.0,5.0,3.0,5.0,23.0
002773.SZ,康弘药业,SW1医药生物,20260331,3.2528,-2.68,88.6616,6.1844,12.6966,344310711.38,32.9018,1.1356,303203363.73,1046478561.32,0.33,10.4271,2.9698,28.9737,11.9925,0.1025,10209521318.07,9578124983.71,0.8263598326359832,0.5806451612903226,0.9623430962343096,0.9163179916317992,0.9457202505219207,5.0,3.0,5.0,5.0,5.0,23.0
301196.SZ,唯科科技,SW1基础化工,20260331,2.1323,17.66,29.4121,20.3626,3.8806,127435873.35,20.8859,1.7441,73067415.56,610153167.42,0.5695,26.6764,1.6809,11.9753,3.1483,0.1404,4346878563.08,3461739360.18,0.7573529411764706,0.6818181818181818,0.8112745098039216,0.8823529411764706,0.8014705882352942,4.0,4.0,5.0,5.0,5.0,23.0
301019.SZ,宁波色母,SW1基础化工,20260331,2.5997,9.41,37.254,10.0351,8.9097,9160129.33,7.1485,0.3131,29257332.51,128140075.83,0.18,6.9115,2.3086,22.8323,8.0343,0.1011,1267315665.86,1140138839.1,0.821078431372549,0.6060606060606061,0.9191176470588235,0.6862745098039216,0.9191176470588235,5.0,4.0,5.0,5.0,4.0,23.0
300832.SZ,新产业,SW1医药生物,20260331,4.7445,-11.39,73.4794,7.1408,10.5407,358967798.42,31.8068,0.8122,441991297.0,1128586851.55,0.5625,12.0739,4.3264,39.1633,8.6378,0.1105,10216225836.07,9486701373.51,0.9414225941422594,0.5207373271889401,0.8347280334728033,0.9100418410041841,0.9311064718162839,5.0,3.0,5.0,5.0,5.0,23.0
301021.SZ,英诺激光,SW1机械设备,20260331,1.1127,163.32,49.1325,14.9847,5.9457,17368848.94,15.0817,1.6466,10548575.6,115165035.78,0.0755,6.8388,0.8589,9.1595,4.5715,0.0938,1228185286.2,1044144881.83,0.5509433962264151,0.9182879377431906,0.9323308270676691,0.8345864661654135,0.8947368421052632,3.0,5.0,5.0,5.0,5.0,23.0
002975.SZ,博杰股份,SW1机械设备,20260331,2.8394,812.78,49.8501,27.3645,2.6393,38363602.15,8.2047,0.593,64692732.38,467582579.94,0.42,14.6811,1.8613,13.8356,1.8331,0.1345,3475664148.65,2524566972.06,0.8471698113207548,0.9883268482490273,0.9379699248120301,0.7612781954887218,0.6917293233082706,5.0,5.0,5.0,4.0,4.0,23.0
002050.SZ,三花智控,SW1家用电器,20260331,2.8819,31.97,27.7967,33.2778,2.3061,1105790187.12,14.225,1.1629,950867700.26,7773555419.29,0.22,7.7537,1.9262,12.2321,1.905,0.1575,49364664237.68,32937196859.33,0.8064516129032258,0.9038461538461539,0.6914893617021277,0.8191489361702128,0.6702127659574468,5.0,5.0,4.0,4.0,5.0,23.0
002818.SZ,富森美,SW1商贸零售,20260331,6.6987,-19.15,63.8058,12.2401,4.5994,143813790.21,55.7041,0.2082,690640057.95,258174687.57,0.5176,7.9852,9.3114,267.5088,3.9922,0.0348,7417133849.89,6509272453.69,0.9393939393939394,0.47619047619047616,0.9191919191919192,0.9595959595959596,0.8888888888888888,5.0,3.0,5.0,5.0,5.0,23.0
002255.SZ,海陆重工,SW1电力设备,20260331,2.3373,10.47,33.0491,30.0535,2.6384,87523433.32,17.5571,0.8432,103794379.7,498507224.31,0.1246,5.5608,1.6085,20.821,1.8657,0.0773,6453065242.17,4513695169.69,0.7955801104972375,0.6057142857142858,0.8575342465753425,0.8958904109589041,0.8082191780821918,4.0,4.0,5.0,5.0,5.0,23.0
301061.SZ,匠心家居,SW1轻工制造,20260331,3.8822,25.56,38.1308,22.2745,4.7021,123100771.36,16.5261,0.7397,166418901.96,744886964.86,0.76,19.9327,2.9663,22.3415,4.2238,0.1328,5610300414.19,4360633459.89,0.9363057324840764,0.7974683544303798,0.9367088607594937,0.8417721518987342,0.7974683544303798,5.0,4.0,5.0,4.0,5.0,23.0
